slug	name	location	stream_url	report_url	area	lon	lat
arrifana	Arrifana	Aljezur, Aljezur Municipality, Faro, Portugal	https://cams.cdn-surfline.com/cdn-int/pt-arrifana/playlist.m3u8	https://www.surfline.com/surf-report/arrifana/5842041f4e65fad6a7708e7e	Aljezur Municipality, Faro	-8.87188	37.293774
ashdod	Ashdod	Ashdod, Southern District, Israel	https://cams.cdn-surfline.com/cdn-int/il-ashdod/playlist.m3u8	https://www.surfline.com/surf-report/ashdod/584204204e65fad6a7709ab5	Southern District, Israel	34.637	31.815
atlantic-beach	Atlantic Beach	Atlantic Beach, Duval County, Florida, United States	https://cams.cdn-surfline.com/cdn-ec/ec-atlanticbeach/playlist.m3u8	https://www.surfline.com/surf-report/atlantic-beach/5842041f4e65fad6a7708a98	Duval County, Florida	-81.39229204475505	30.32468915287104
avila-beach	Avila Beach	Avila Beach, San Luis Obispo County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-avilabeach/playlist.m3u8	https://www.surfline.com/surf-report/avila-beach/5842041f4e65fad6a77089ab	San Luis Obispo County, California	-120.7341125142258	35.1775325966252
avon-pier	Avon Pier	Avon, Dare County, North Carolina, United States	https://cams.cdn-surfline.com/cdn-ec/ec-avonpier/playlist.m3u8	https://www.surfline.com/surf-report/avon-pier/5842041f4e65fad6a7708a3d	Dare County, North Carolina	-75.5008393176949	35.34721340158342
backdoor	Backdoor	Pupukea, O‘ahu, Hawaii, United States	https://cams.cdn-surfline.com/cdn-wc/hi-backdoor/playlist.m3u8	https://www.surfline.com/surf-report/backdoor/5842041f4e65fad6a7708891	O‘ahu, Hawaii	-158.054	21.665
backdoor-overview	Backdoor Overview	Pupukea, O‘ahu, Hawaii, United States	https://cams.cdn-surfline.com/cdn-wc/hi-backdoorfixed/playlist.m3u8	https://www.surfline.com/surf-report/backdoor-overview/584204214e65fad6a7709ceb	O‘ahu, Hawaii	-158.051	21.6656
baja-malibu	Baja Malibu	Quinta del Cedro, Tijuana, Baja California, Mexico	https://cams.cdn-surfline.com/cdn-wc/mx-bajamalibu/playlist.m3u8	https://www.surfline.com/surf-report/baja-malibu/5842041f4e65fad6a7708e1b	Tijuana, Baja California	-117.096	32.417
balangan	Balangan	Pecatu, Bali, Bali, Indonesia	https://cams.cdn-surfline.com/cdn-int/id-balangan/playlist.m3u8	https://www.surfline.com/surf-report/balangan/5842041f4e65fad6a7708d3a	Bali, Bali	115.12	-8.794
baleal	Baleal	Peniche, Peniche Municipality, Leiria, Portugal	https://cams.cdn-surfline.com/cdn-int/pt-baleal/playlist.m3u8	https://www.surfline.com/surf-report/baleal/5842041f4e65fad6a7708bc6	Peniche Municipality, Leiria	-9.352113484320896	39.36641266584049
balian	Balian	Banjar Delodrurung, Bali, Bali, Indonesia	https://cams.cdn-surfline.com/cdn-int/id-balian/playlist.m3u8	https://www.surfline.com/surf-report/balian/5842041f4e65fad6a7708d41	Bali, Bali	114.988	-8.5242
banyans	Banyans	Holualoa, Island of Hawai‘i, Hawaii, United States	https://cams.cdn-surfline.com/cdn-wc/hi-banyans/playlist.m3u8	https://www.surfline.com/surf-report/banyans/5842041f4e65fad6a770889d	Island of Hawai‘i, Hawaii	-155.978	19.606
bath-house	Bath House	Kill Devil Hills, Dare County, North Carolina, United States	https://cams.cdn-surfline.com/cdn-ec/ec-bathhousekdh/playlist.m3u8	https://www.surfline.com/surf-report/bath-house/584204204e65fad6a7709464	Dare County, North Carolina	-75.65344333648682	36.01599221232585
baywood-beach	Baywood Beach	Los Osos, San Luis Obispo County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-baywoodbeach/playlist.m3u8	https://www.surfline.com/surf-report/baywood-beach/584204214e65fad6a7709cfe	San Luis Obispo County, California	-120.84555972658563	35.332026804822554
bethune-beach	Bethune Beach	New Smyrna Beach, Volusia County, Florida, United States	https://cams.cdn-surfline.com/cdn-ec/ec-bethunebeach/playlist.m3u8	https://www.surfline.com/surf-report/bethune-beach/5842041f4e65fad6a7708a95	Volusia County, Florida	-80.83837397826176	28.95125170929067
beverly-beach	Beverly Beach	Depoe Bay, Lincoln County, Oregon, United States	https://cams.cdn-surfline.com/cdn-wc/wc-beverlyor/playlist.m3u8	https://www.surfline.com/surf-report/beverly-beach/584204214e65fad6a7709d23	Lincoln County, Oregon	-124.060801	44.724734
billy-mitchell	Billy Mitchell	Frisco, Dare County, North Carolina, United States	https://cams.cdn-surfline.com/cdn-ec/ec-frisco/playlist.m3u8	https://www.surfline.com/surf-report/billy-mitchell/584204214e65fad6a7709d0e	Dare County, North Carolina	-75.62549471855164	35.22651724809944
blackies-close-up	Blackies Close-up	Newport Beach, Orange County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-blackiesclose/playlist.m3u8	https://www.surfline.com/surf-report/blackies-close-up/5a26dbfbfa245a001a43d45c	Orange County, California	-117.93021261692047	33.60908849830872
bolsa-chica-overview	Bolsa Chica Overview	Huntington Beach, Orange County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-bolsachica/playlist.m3u8	https://www.surfline.com/surf-report/bolsa-chica-overview/584204204e65fad6a770998d	Orange County, California	-118.043096169064	33.68730096183094
boneyard-	Boneyard 	Dana Point, Orange County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-boneyard/playlist.m3u8	https://www.surfline.com/surf-report/boneyard-/58bde90e0cec4200133464ef	Orange County, California	-117.68919467926025	33.459981047849084
boscombe	Boscombe	Bournemouth, Dorset, England, United Kingdom	https://cams.cdn-surfline.com/cdn-int/uk-boscombe/playlist.m3u8	https://www.surfline.com/surf-report/boscombe/584204214e65fad6a7709cee	Dorset, England	-1.835	50.7175
